Issue ID,Summary,Issue Type,Sprint,Priority,Story Points,Epic Name,Labels,Linked Issues,Description
TB-031,Criar design system V1 compartilhado,Story,Sprint 1 - Core Operacional,High,8,Cross,"cross,frontend,design-system",None,"Componentes base para filtros cards tabelas drawers e estados."
TB-004,Modelar consultas de agenda por medico dia semana,Story,Sprint 1 - Core Operacional,Highest,8,Agenda,"agenda,data,sql",None,"Consultas e indices para visao dia semana e lista."
TB-005,Integrar RPCs de agendamento e status no backend,Story,Sprint 1 - Core Operacional,Highest,8,Agenda,"agenda,backend,rpc",TB-004,"Fluxos criar confirmar alterar status com validacao de transicao."
TB-006,Implementar tela agenda com drawer operacional,Story,Sprint 1 - Core Operacional,Highest,8,Agenda,"agenda,frontend,ui",TB-005,"Calendario por medico com acoes operacionais e teleconsulta."
TB-010,Otimizar busca e deduplicacao de pacientes,Story,Sprint 1 - Core Operacional,High,5,Pacientes,"patients,data,sql",None,"Busca por nome telefone documento e deduplicacao por tenant."
TB-011,APIs de cadastro merge e timeline de paciente,Story,Sprint 1 - Core Operacional,High,8,Pacientes,"patients,backend,api",TB-010,"CRUD de pacientes com timeline e merge controlado."
TB-012,Implementar tela pacientes com filtros e drawer,Story,Sprint 1 - Core Operacional,High,8,Pacientes,"patients,frontend,ui",TB-011,"Lista com filtros avancados e painel contextual."
TB-019,Consolidar matriz de permissao por recurso e role,Story,Sprint 1 - Core Operacional,Highest,8,Acesso RBAC,"rbac,data,security",None,"Estrutura canonica de permissoes alinhada ao backend."
TB-020,Endpoints admin para roles politicas e sessao,Story,Sprint 1 - Core Operacional,Highest,8,Acesso RBAC,"rbac,backend,security",TB-019,"Troca de role revogacao de sessao e auditoria."
TB-007,Criar visao de funil CRM com SLA de lead,Story,Sprint 2 - CRM e Mensagens,High,5,Kanban CRM,"crm,data,sql",None,"Visao por etapa canal e tempo medio de resposta."
TB-008,APIs de movimentacao de etapa e conversao lead paciente,Story,Sprint 2 - CRM e Mensagens,High,8,Kanban CRM,"crm,backend,api",TB-007,"Persistir mudanca de etapa e conversao com auditoria."
TB-009,Implementar board kanban CRM com drag and drop,Story,Sprint 2 - CRM e Mensagens,High,8,Kanban CRM,"crm,frontend,ui",TB-008,"Board com score ultima interacao e proxima acao."
TB-013,Estruturar fila de mensagens com idempotencia,Story,Sprint 2 - CRM e Mensagens,High,8,Mensagens,"messages,data,events",None,"Fila de mensagens com retry e estado de entrega."
TB-014,Servico omnichannel com fallback de canal,Story,Sprint 2 - CRM e Mensagens,High,8,Mensagens,"messages,backend,integrations",TB-013,"Envio WhatsApp e email com fallback."
TB-015,Implementar inbox de mensagens e templates,Story,Sprint 2 - CRM e Mensagens,High,8,Mensagens,"messages,frontend,ui",TB-014,"Inbox operacional com timeline e templates."
TB-021,Implementar tela de acesso RBAC e auditoria,Story,Sprint 2 - CRM e Mensagens,High,8,Acesso RBAC,"rbac,frontend,ui",TB-020,"Matriz visual de acesso e logs."
TB-035,Testes de permissao por role e tenant,Task,Sprint 2 - CRM e Mensagens,Highest,8,Cross,"cross,qa,security",TB-021,"Garantir bloqueio de acesso indevido em UI API e banco."
TB-001,Criar views vw_dash para KPIs e graficos V1,Story,Sprint 3 - Gestao e Relatorios,High,8,Dashboard,"dashboard,data,sql",None,"Views agregadas para KPIs e graficos do dashboard."
TB-002,Implementar endpoints agregados de dashboard com cache,Story,Sprint 3 - Gestao e Relatorios,High,8,Dashboard,"dashboard,backend,api",TB-001,"Endpoints com filtros globais e cache."
TB-003,Construir tela dashboard gestor V1,Story,Sprint 3 - Gestao e Relatorios,High,8,Dashboard,"dashboard,frontend,ui",TB-002,"KPIs e graficos com drill-down."
TB-022,Criar views de relatorios operacionais e comerciais,Story,Sprint 3 - Gestao e Relatorios,High,8,Relatorios,"reports,data,sql",TB-001,"Views de comparecimento no-show ocupacao e conversao."
TB-023,Endpoints de relatorios com exportacao,Story,Sprint 3 - Gestao e Relatorios,High,5,Relatorios,"reports,backend,api",TB-022,"APIs para consulta e exportacao."
TB-024,Implementar tela relatorios com drill down,Story,Sprint 3 - Gestao e Relatorios,High,8,Relatorios,"reports,frontend,ui",TB-023,"Graficos com detalhe filtrado."
TB-033,Adicionar auditoria de exportacoes e acoes sensiveis,Task,Sprint 3 - Gestao e Relatorios,High,5,Cross,"cross,data,audit",None,"Auditar exportacoes e operacoes sensiveis."
TB-034,Suite e2e de fluxos criticos operacionais,Task,Sprint 3 - Gestao e Relatorios,High,8,Cross,"cross,qa,e2e","TB-006;TB-009;TB-015","Cobrir agenda CRM mensagens com cenarios de erro."
TB-036,Teste de performance inicial dashboard e agenda,Task,Sprint 3 - Gestao e Relatorios,Medium,5,Cross,"cross,qa,performance","TB-003;TB-006","Medir latencia de carga e consultas pesadas."
TB-016,Ajustar entidades de equipe e vinculo profile doctor,Story,Post-MVP,Medium,5,Equipe,"team,data,sql",None,"Modelagem de equipe para ciclo seguinte."
TB-017,APIs de convite ativacao e capacidade operacional,Story,Post-MVP,Medium,5,Equipe,"team,backend,api",TB-016,"Convite e capacidade para ciclo seguinte."
TB-018,Implementar tela equipe com filtros por role,Story,Post-MVP,Medium,5,Equipe,"team,frontend,ui",TB-017,"Tela equipe para ciclo seguinte."
TB-025,Modelar receita prevista realizada e inadimplencia,Story,Post-MVP,High,8,Financeiro,"financial,data,sql",None,"Base financeira para ciclo seguinte."
TB-026,APIs de fechamento ajustes e recebimento,Story,Post-MVP,High,5,Financeiro,"financial,backend,api",TB-025,"Fluxos financeiros para ciclo seguinte."
TB-027,Implementar tela financeiro V1,Story,Post-MVP,High,8,Financeiro,"financial,frontend,ui",TB-026,"Tela financeiro para ciclo seguinte."
TB-028,Parametrizar regras de agenda LGPD e templates,Story,Post-MVP,Medium,5,Configuracoes,"settings,data,sql",None,"Parametros por tenant para ciclo seguinte."
TB-029,Endpoints de configuracao versionada por tenant,Story,Post-MVP,Medium,5,Configuracoes,"settings,backend,api",TB-028,"APIs de configuracao para ciclo seguinte."
TB-030,Implementar tela configuracoes por secao,Story,Post-MVP,Medium,5,Configuracoes,"settings,frontend,ui",TB-029,"Tela configuracoes para ciclo seguinte."
TB-032,Instrumentar telemetria de uso por widget e tela,Task,Post-MVP,Medium,5,Cross,"cross,backend,analytics",None,"Telemetria de uso para ciclo seguinte."
