"Task Name","List Name","Status","Priority","Start Date","Due Date","Tags","Description","Custom Field: Backlog ID","Custom Field: Sprint","Custom Field: Work Type","Custom Field: Story Points","Custom Field: Depends On IDs"
"Apply migration 010 in staging and validate hardening","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,security,supabase","Migration applied, smoke checks green, rollback script documented","BK-001","SPRINT_1_FOUNDATION_SECURITY","Task","5","None"
"Create automated RLS matrix tests by role","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,security,tests,rls","Tests cover admin, gestor, recepcao, medico and block unauthorized paths","BK-002","SPRINT_1_FOUNDATION_SECURITY","Story","8","BK-001"
"Implement entitlements schema for Core Growth Premium","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,billing,entitlements,backend","Tables or config exist and each tenant resolves active entitlements","BK-003","SPRINT_1_FOUNDATION_SECURITY","Story","8","None"
"Enforce feature gates in backend APIs and RPCs","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,backend,entitlements,api","Blocked features return deterministic error and are audited","BK-004","SPRINT_1_FOUNDATION_SECURITY","Story","8","BK-003"
"Build resilient event processor with retry and DLQ","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,events,reliability,n8n","Failed events retry with backoff and dead letter queue stores terminal failures","BK-005","SPRINT_1_FOUNDATION_SECURITY","Epic","13","BK-001"
"Standardize idempotency keys across workflows","Sprint 1 - Foundation and Security","to do","high","2026-03-03","2026-03-16","sprint1,events,idempotency","Duplicate events do not create duplicated side effects","BK-006","SPRINT_1_FOUNDATION_SECURITY","Task","5","BK-005"
"Configure dev staging prod with migration pipeline","Sprint 1 - Foundation and Security","to do","high","2026-03-03","2026-03-16","sprint1,devops,environments","Same migration set runs in all environments with documented promote flow","BK-007","SPRINT_1_FOUNDATION_SECURITY","Story","8","None"
"Create CI pipeline for SQL tests and policy regression","Sprint 1 - Foundation and Security","to do","high","2026-03-03","2026-03-16","sprint1,ci,sql,quality","CI runs migrations and security tests on each pull request","BK-008","SPRINT_1_FOUNDATION_SECURITY","Story","8","BK-002;BK-007"
"Build patient portal V1 with secure access links","Sprint 2 - Product and Conversion","to do","urgent","2026-03-17","2026-03-30","sprint2,portal,patient,frontend","Patient can open appointment details with secure signed access","BK-009","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-004"
"Implement confirm and reschedule APIs plus UI flow","Sprint 2 - Product and Conversion","to do","urgent","2026-03-17","2026-03-30","sprint2,appointments,portal,api","Patient confirms or reschedules and status event trail is consistent","BK-010","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-009"
"Add teleconsult consent request and capture UI flow","Sprint 2 - Product and Conversion","to do","urgent","2026-03-17","2026-03-30","sprint2,teleconsult,consent,lgpd","Consent status transitions are auditable end to end","BK-011","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-009"
"Implement D-0 reminder engine with channel fallback","Sprint 2 - Product and Conversion","to do","high","2026-03-17","2026-03-30","sprint2,notifications,automation","Reminders send on schedule and fallback channel triggers on provider failure","BK-012","SPRINT_2_PRODUCT_CONVERSION","Epic","13","BK-005;BK-010"
"Create no-show score v1 and assisted action rules","Sprint 2 - Product and Conversion","to do","high","2026-03-17","2026-03-30","sprint2,noshow,ops,analytics","Risk score appears before appointment and action suggestions are logged","BK-013","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-012"
"Launch reengagement automations for no-show and inactive","Sprint 2 - Product and Conversion","to do","high","2026-03-17","2026-03-30","sprint2,retention,campaigns","Campaign runs idempotently and updates journey status","BK-014","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-013"
"Deliver funnel dashboard by acquisition channel","Sprint 2 - Product and Conversion","to do","high","2026-03-17","2026-03-30","sprint2,metrics,funnel,bi","Dashboard shows lead to booking to attendance conversion by channel","BK-015","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-010"
"Implement LGPD retention jobs for consent and transcripts","Sprint 2 - Product and Conversion","to do","urgent","2026-03-17","2026-03-30","sprint2,lgpd,data-retention,compliance","Expired sensitive data is marked and processed per retention policy","BK-016","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-011"
"Build pilot clinic onboarding playbook and checklist","Sprint 3 - Go Live and Initial Scale","to do","urgent","2026-03-31","2026-04-13","sprint3,onboarding,operations","New clinic can be onboarded in 5 business days with repeatable checklist","BK-017","SPRINT_3_GO_LIVE_SCALE","Story","8","BK-010;BK-015"
"Create incident runbooks for OAuth messaging transcription","Sprint 3 - Go Live and Initial Scale","to do","high","2026-03-31","2026-04-13","sprint3,reliability,runbook,support","Each critical incident has steps owner SLA and escalation path","BK-018","SPRINT_3_GO_LIVE_SCALE","Story","5","BK-005"
"Add recurring billing and dunning flow baseline","Sprint 3 - Go Live and Initial Scale","to do","high","2026-03-31","2026-04-13","sprint3,billing,subscriptions,revenue","Subscription lifecycle works and failed payment triggers dunning stages","BK-019","SPRINT_3_GO_LIVE_SCALE","Epic","13","BK-003"
"Add AI governance logs prompt version and per-visit cost","Sprint 3 - Go Live and Initial Scale","to do","high","2026-03-31","2026-04-13","sprint3,ai,governance,cost","Each transcript summary stores model prompt version and token cost","BK-020","SPRINT_3_GO_LIVE_SCALE","Story","8","BK-016"
"Build KPI cockpit for North Star and operations","Sprint 3 - Go Live and Initial Scale","to do","high","2026-03-31","2026-04-13","sprint3,metrics,executive,dashboard","Weekly cockpit shows attendance no-show forecast and workflow SLA","BK-021","SPRINT_3_GO_LIVE_SCALE","Story","8","BK-015"
"Execute pilot hardening bug bash and fix criticals","Sprint 3 - Go Live and Initial Scale","to do","urgent","2026-03-31","2026-04-13","sprint3,qa,hardening,pilot","All P0 and P1 bugs found in pilot are fixed or waived with owner and date","BK-022","SPRINT_3_GO_LIVE_SCALE","Task","8","BK-017;BK-021"
"Define support N1 process and handoff artifacts","Sprint 3 - Go Live and Initial Scale","to do","normal","2026-03-31","2026-04-13","sprint3,support,process","N1 support script triage flow and escalation templates are documented","BK-023","SPRINT_3_GO_LIVE_SCALE","Task","5","BK-018"
"Run 7-day assisted pilot and close go-live report","Sprint 3 - Go Live and Initial Scale","to do","urgent","2026-03-31","2026-04-13","sprint3,go-live,pilot,report","Pilot runs 7 days without severe blocker and final report approved","BK-024","SPRINT_3_GO_LIVE_SCALE","Task","8","BK-022;BK-023"
